,year,state,n_killed,n_injured
105923,2016,California,1,0
105924,2016,Louisiana,0,1
105925,2016,Georgia,0,0
105926,2016,Georgia,0,0
105927,2016,Georgia,0,0
105928,2016,Illinois,0,1
105929,2016,Kentucky,0,0
105930,2016,Illinois,0,3
105931,2016,Illinois,0,1
105932,2016,New York,0,1
105933,2016,Arizona,0,2
105934,2016,Illinois,0,2
105935,2016,Tennessee,0,1
105936,2016,Tennessee,0,1
105937,2016,New York,0,1
105938,2016,Florida,1,0
105939,2016,Louisiana,1,0
105940,2016,Florida,0,1
105941,2016,Louisiana,0,1
105942,2016,Illinois,0,1
105943,2016,Arkansas,0,1
105944,2016,Nevada,0,2
105945,2016,Florida,0,1
105946,2016,North Carolina,0,0
105947,2016,Ohio,0,2
105948,2016,Kansas,0,0
105949,2016,Ohio,0,1
105950,2016,Illinois,0,1
105951,2016,Nevada,1,1
105952,2016,California,0,1
105953,2016,Montana,1,0
105954,2016,Missouri,0,1
105955,2016,Virginia,1,0
105956,2016,Mississippi,0,0
105957,2016,Nebraska,0,1
105958,2016,North Carolina,1,0
105959,2016,Iowa,0,1
105960,2016,Alabama,0,0
105961,2016,Indiana,2,0
105962,2016,Texas,0,1
105963,2016,Iowa,0,0
105964,2016,Texas,1,0
105965,2016,New Jersey,0,1
105966,2016,California,0,1
105967,2016,New Jersey,0,0
105968,2016,Georgia,0,0
105969,2016,Ohio,0,0
105970,2016,Arizona,0,0
105971,2016,Alabama,1,0
105972,2016,Illinois,0,0
105973,2016,New Jersey,0,1
105974,2016,Georgia,0,1
105975,2016,Massachusetts,0,0
105976,2016,Michigan,1,0
105977,2016,California,3,0
105978,2016,Minnesota,0,0
105979,2016,Kentucky,0,1
105980,2016,Kentucky,0,1
105981,2016,Illinois,0,1
105982,2016,Florida,0,1
105983,2016,Missouri,0,0
105984,2016,Connecticut,0,2
105985,2016,Georgia,0,1
105986,2016,Georgia,0,0
105987,2016,Oklahoma,2,1
105988,2016,Louisiana,0,0
105989,2016,Georgia,0,0
105990,2016,New York,0,1
105991,2016,California,0,1
105992,2016,Ohio,0,0
105993,2016,Washington,0,0
105994,2016,Arizona,0,0
105995,2016,California,0,0
105996,2016,Louisiana,0,0
105997,2016,Ohio,1,0
105998,2016,Georgia,0,0
105999,2016,Missouri,0,1
106000,2016,New Mexico,0,1
106001,2016,Illinois,0,1
106002,2016,Colorado,0,2
106003,2016,New York,0,0
106004,2016,Missouri,0,1
106005,2016,Missouri,0,1
106006,2016,Texas,1,0
106007,2016,Texas,1,0
106008,2016,Iowa,0,1
106009,2016,South Dakota,1,0
106010,2016,Ohio,0,1
106011,2016,Massachusetts,0,1
106012,2016,Tennessee,0,1
106013,2016,Tennessee,0,1
106014,2016,Wisconsin,0,1
106015,2016,Maine,0,0
106016,2016,Tennessee,0,1
106017,2016,Illinois,1,0
106018,2016,North Dakota,0,0
106019,2016,West Virginia,1,0
106020,2016,Ohio,0,1
106021,2016,New Hampshire,0,0
106022,2016,Illinois,0,1
106023,2016,Iowa,1,0
106024,2016,New York,0,0
106025,2016,Ohio,0,0
106026,2016,Illinois,0,1
106027,2016,Illinois,0,0
106028,2016,Washington,0,0
106029,2016,Kentucky,1,0
106030,2016,Wisconsin,0,0
106031,2016,Ohio,0,0
106032,2016,New Hampshire,0,0
106033,2016,Washington,0,1
106034,2016,North Carolina,0,0
106035,2016,North Carolina,0,3
106036,2016,Virginia,0,1
106037,2016,Georgia,0,0
106038,2016,Georgia,0,0
106039,2016,Florida,1,0
106040,2016,Iowa,0,0
106041,2016,Maryland,0,0
106042,2016,Indiana,1,1
106043,2016,North Carolina,0,1
106044,2016,North Carolina,0,1
106045,2016,Delaware,0,0
106046,2016,Michigan,0,1
106047,2016,District of Columbia,0,1
106048,2016,Louisiana,0,1
106049,2016,Colorado,0,0
106050,2016,Illinois,0,1
106051,2016,District of Columbia,0,1
106052,2016,Illinois,0,1
106053,2016,Georgia,0,0
106054,2016,New York,0,0
106055,2016,California,1,0
106056,2016,California,0,1
106057,2016,Illinois,1,0
106058,2016,North Carolina,0,1
106059,2016,Georgia,0,0
106060,2016,Georgia,0,0
106061,2016,Alabama,1,0
106062,2016,Virginia,0,1
106063,2016,Michigan,0,1
106064,2016,North Carolina,1,0
106065,2016,Oregon,0,0
106066,2016,Kentucky,0,0
106067,2016,Louisiana,0,2
106068,2016,Ohio,1,0
106069,2016,Louisiana,0,1
106070,2016,Pennsylvania,1,0
106071,2016,Louisiana,0,1
106072,2016,California,0,1
106073,2016,Wisconsin,0,0
106074,2016,Ohio,0,1
106075,2016,Michigan,1,0
106076,2016,Kentucky,1,0
106077,2016,Virginia,1,0
106078,2016,Wisconsin,0,0
106079,2016,Wisconsin,0,0
106080,2016,Washington,0,1
106081,2016,Wisconsin,0,1
106082,2016,Illinois,0,1
106083,2016,Oklahoma,1,1
106084,2016,Virginia,0,1
106085,2016,Indiana,0,2
106086,2016,Illinois,0,0
106087,2016,South Carolina,0,2
106088,2016,Texas,0,2
106089,2016,Washington,0,0
106090,2016,Illinois,0,1
106091,2016,Indiana,0,1
106092,2016,Illinois,0,1
106093,2016,Florida,1,1
106094,2016,South Carolina,1,0
