law_tag,Variable_Name,Average_deaths_per_capita,number_of_states_with_law,Category,Sub-Category,Brief_Description_of_Provision
security,security,7.82,8,Dealer regulations,Security,State requires at least one store security precaution for firearm dealers
heightened_showing,showing,7.04,7,Concealed carry permitting,Permitting,Applicants are required to make a heightened showing to obtain a concealed carry permit
stalking,stalking,9.47,16,Domestic violence,Stalking,A stalking conviction is prohibitive for firearm possession
state_background_check,statechecks,7.69,10,Background checks,Background checks - state records,"State conducts separate background checks, beyond the federal NICS check, for all firearms"
state_background_check_handgun,statechecksh,9.07,16,Background checks,Background checks - state records,"State conducts separate background checks, beyond the federal NICS check, for handguns"
no_third_party_puchase,strawpurchase,5.65,2,Gun trafficking,Straw purchase,No person may purchase a firearm on behalf of another person
no_third_party_puchase_handgun,strawpurchaseh,8.8,4,Gun trafficking,Straw purchase,No person may purchase a handgun on behalf of another person
no_magazine_over_10_rounds,tenroundlimit,6.44,5,Assault weapons and large-capacity magazines,Large capacity magazine ban,No magazines with a capacity of more than 10 rounds of ammunition may be sold
firearm_theft_reporting,theft,5.65,2,Dealer regulations,Theft reporting,Mandatory reporting of stolen guns by all firearm dealers
threedaylimit,threedaylimit,8.92,10,Background checks,Background checks time limit,Background checks for gun sales or permits have more than a three day period in which they can be completed
gun_trafficking_background,traffickingbackground,5.65,2,Gun trafficking,Gun trafficking,No person may purchase a firearm with the intent to re-sell without the buyer going through a background check or having already gone through a background check
gun_trafficking_prohibited,traffickingprohibited,9.79,13,Gun trafficking,Gun trafficking,No person may purchase a firearm with the intent to re-sell to a person who is prohibited from buying or possessing a firearm
gun_trafficking_prohibitedh,traffickingprohibitedh,10.09,15,Gun trafficking,Gun trafficking,No person may purchase a handgun with the intent to re-sell to a person who is prohibited from buying or possessing a firearm
training_required,training,6.07,6,Buyer regulations,Safety training,Safety training or testing required prior to issuing a firearm license or permit
universal_background,universal,8.4,8,Background checks,Universal background checks,Universal background checks required at point of purchase for all firearms
universal_background_handgun,universalh,9.11,10,Background checks,Universal background checks,Universal background check required at point of purchase for handguns
universal_background_permit,universalpermit,7.69,12,Background checks,Background checks through permits,Background checks conducted through permit requirement for all firearm sales (or universal background checks)
universal_background_permit_handgun,universalpermith,8.92,18,Background checks,Background checks through permits,Background checks conducted through permit requirement for all handgun sales (or universal background checks)
violent_misdemeanor,violent,7.22,4,Prohibitions for high-risk gun possession,Violent Misdemeanor,Firearm possession is prohibited for people who have committed a violent misdemeanor punishable by less than one year of imprisonment
violent_misdemeanor_handgun,violenth,7.22,4,Prohibitions for high-risk gun possession,Violent Misdemeanor,Handgun possession is prohibited for people who have committed a violent misdemeanor punishable by less than one year of imprisonment
violent_misdemeanor_partial,violentpartial,9.23,16,Prohibitions for high-risk gun possession,Violent Misdemeanor,Firearm possession is prohibited for people who have committed a violent misdemeanor punishable by more than one year of imprisonment
waiting_period_required,waiting,7.05,4,Buyer regulations,Waiting period,Waiting period is required on all firearm purchases from dealers
waiting_period_required_handguns,waitingh,8.15,8,Buyer regulations,Waiting period,Waiting period is required on all handgun purchases from dealers
