incident_id,year,state,deaths,injuries
1347968,2019,Nevada,1,0
1348026,2019,Tennessee,1,0
1348185,2019,Florida,1,0
1350746,2019,Texas,1,0
1349563,2019,Utah,1,0
1351519,2019,Texas,1,0
1356292,2019,Mississippi,1,0
1352207,2019,Ohio,1,0
1378446,2019,Florida,1,0
1354026,2019,North Carolina,1,0
1331403,2019,South Carolina,1,0
1334155,2019,Ohio,1,0
1370948,2019,Missouri,1,0
1368008,2019,Mississippi,1,0
1354947,2019,New York,1,0
1360810,2019,Kansas,1,0
1359562,2019,Georgia,1,0
1360750,2019,Texas,1,0
1362434,2019,New Mexico,1,0
1364291,2019,Indiana,1,0
1362942,2019,Virginia,1,0
1363434,2019,Mississippi,1,0
1364591,2019,Alabama,1,0
1352829,2019,Arkansas,1,0
1365495,2019,Maryland,1,0
1383237,2019,Utah,1,0
1368140,2019,Oklahoma,1,0
1370287,2019,Texas,1,0
1370281,2019,Alabama,1,0
1370249,2019,Alabama,1,1
1371988,2019,Texas,1,0
1370974,2019,Kentucky,1,0
1370591,2019,North Carolina,1,0
1372315,2019,New York,1,0
1371035,2019,New York,1,0
1366615,2019,Georgia,1,0
1323697,2019,Mississippi,2,0
1398927,2019,Oklahoma,1,0
1437037,2019,Louisiana,1,0
1398153,2019,Arkansas,1,0
1376917,2019,Ohio,1,0
1380603,2019,Indiana,1,0
1381613,2019,Massachusetts,1,0
1416972,2019,Arizona,1,0
1384330,2019,Arizona,1,0
1385486,2019,Texas,1,0
1388834,2019,Georgia,1,0
1387168,2019,Illinois,1,0
1387125,2019,Illinois,1,1
1398159,2019,Missouri,1,0
1387642,2019,Wisconsin,1,0
1390919,2019,Arizona,1,0
1392677,2019,Idaho,1,0
1392543,2019,Illinois,1,1
1395097,2019,Tennessee,1,0
1392351,2019,Tennessee,1,0
1392942,2019,Montana,1,0
1393162,2019,Ohio,1,0
1393281,2019,California,1,0
1400050,2019,Illinois,1,0
1395374,2019,Missouri,1,0
1390793,2019,Florida,1,0
1395723,2019,Ohio,1,0
1394434,2019,Texas,1,0
1415323,2019,Ohio,1,1
1402529,2019,Ohio,1,0
1405583,2019,Kentucky,1,0
1399436,2019,South Carolina,1,0
1406974,2019,Georgia,1,0
1405012,2019,Louisiana,1,0
1404771,2019,Tennessee,1,0
1412206,2019,Washington,1,0
1410272,2019,Florida,1,0
1405954,2019,Virginia,1,2
1406563,2019,Arizona,1,0
1410011,2019,Mississippi,1,0
1455974,2019,Alabama,1,0
1406147,2019,Florida,1,1
1408646,2019,Arizona,1,0
1407338,2019,Florida,1,0
1408146,2019,Mississippi,1,0
1409965,2019,South Carolina,1,0
1410916,2019,Oklahoma,1,0
1412302,2019,Maryland,1,0
1413510,2019,Tennessee,1,0
1413663,2019,Oklahoma,1,0
1419903,2019,Texas,1,0
1417080,2019,Texas,1,0
1353439,2019,Arizona,1,0
1418578,2019,Wisconsin,1,0
1437995,2019,Washington,1,0
1426296,2019,Oregon,1,0
1418818,2019,Idaho,1,0
1418975,2019,Alabama,1,0
1419431,2019,South Carolina,1,0
1419834,2019,Mississippi,1,1
1419559,2019,Kentucky,1,0
1421241,2019,Georgia,1,0
1424925,2019,Texas,1,0
1423526,2019,Alabama,1,2
1424395,2019,Wisconsin,1,0
1418384,2019,North Carolina,1,0
1429770,2019,Wisconsin,1,0
1437834,2019,Arizona,1,0
1427218,2019,South Carolina,1,0
1428280,2019,Texas,1,0
1429406,2019,Mississippi,1,0
1431541,2019,California,1,0
1430164,2019,Tennessee,1,0
1433166,2019,Kentucky,1,0
1437559,2019,Mississippi,1,0
1436602,2019,West Virginia,1,0
1434639,2019,Louisiana,1,0
1427181,2019,Indiana,1,0
1439323,2019,Arizona,1,0
1440596,2019,Utah,2,0
1457108,2019,Ohio,1,0
1417620,2019,West Virginia,1,0
1453955,2019,Texas,1,0
1442733,2019,Montana,1,0
1441469,2019,Indiana,1,1
1442417,2019,California,1,0
1446499,2019,Michigan,1,0
1446409,2019,Texas,1,0
1447491,2019,Arizona,1,0
1447821,2019,Colorado,1,0
1450859,2019,Missouri,1,0
1449886,2019,Texas,2,0
1450581,2019,Illinois,1,0
1455031,2019,Oklahoma,1,0
1444493,2019,Indiana,1,0
1453316,2019,Mississippi,1,0
1453388,2019,Texas,1,0
1453186,2019,Missouri,1,0
1455113,2019,Mississippi,1,0
1453343,2019,Maryland,1,0
1453856,2019,Virginia,1,1
1453968,2019,Louisiana,1,0
1455368,2019,Georgia,1,0
1376919,2019,Michigan,1,0
1377378,2019,Mississippi,1,0
1456902,2019,Texas,1,0
1308482,2019,Texas,1,0
1457269,2019,New Jersey,1,0
1469267,2019,Louisiana,1,0
1459239,2019,Illinois,1,0
1462286,2019,Alaska,1,0
1461110,2019,Illinois,1,0
1462610,2019,Pennsylvania,1,0
1462854,2019,Arizona,1,0
1464941,2019,Arizona,1,0
1466528,2019,Arkansas,1,0
1465536,2019,Montana,1,0
1465473,2019,Texas,1,0
1494530,2019,Mississippi,1,0
1465898,2019,Virginia,1,0
1479992,2019,West Virginia,1,0
1473306,2019,New York,1,0
1474852,2019,Illinois,1,0
1473393,2019,Kansas,1,0
1475708,2019,Ohio,1,0
1476537,2019,Ohio,1,1
1477032,2019,Michigan,1,0
1485063,2019,Nevada,1,0
1479182,2019,Texas,1,0
1480024,2019,Utah,1,0
1470479,2019,Alabama,1,2
1481097,2019,Arizona,1,0
1481415,2019,Alabama,1,0
1494302,2019,Louisiana,1,0
1487550,2019,Florida,1,0
1481679,2019,Kansas,1,0
1482469,2019,Oklahoma,1,0
1481936,2019,California,1,0
1482238,2019,Florida,1,0
1483844,2019,Minnesota,1,0
1483899,2019,Pennsylvania,1,0
1485322,2019,Illinois,1,0
1486893,2019,Florida,1,0
1486759,2019,Idaho,1,0
1482423,2019,Ohio,1,0
1486568,2019,Alabama,1,0
1526131,2019,Tennessee,1,0
1488638,2019,Pennsylvania,1,0
1488733,2019,Texas,1,0
1488879,2019,Pennsylvania,1,0
1489112,2019,Tennessee,1,0
1490936,2019,Louisiana,1,0
1489985,2019,Illinois,1,0
1490546,2019,Virginia,1,0
1491718,2019,Michigan,1,1
1498326,2019,Illinois,1,0
1490607,2019,Alabama,1,0
1495103,2019,Alabama,1,0
1481968,2019,Texas,1,0
1494294,2019,Louisiana,1,0
1496835,2019,Connecticut,1,0
1498337,2019,California,1,0
1501194,2019,Washington,1,0
1499224,2019,Washington,1,0
1499567,2019,Pennsylvania,1,0
1499671,2019,Michigan,1,0
1500260,2019,Massachusetts,1,0
1501228,2019,Iowa,1,0
1501152,2019,Pennsylvania,1,1
1502851,2019,Florida,1,0
1511907,2019,Missouri,1,0
1497036,2019,Tennessee,1,1
1505334,2019,Michigan,1,0
1504619,2019,Texas,1,0
1504579,2019,Texas,1,1
1506553,2019,Wisconsin,1,0
1508756,2019,Wisconsin,1,0
1509367,2019,Louisiana,1,0
1509915,2019,New York,1,1
1511135,2019,Illinois,1,0
1503927,2019,Kentucky,1,0
1571092,2019,Texas,1,0
1608875,2019,Kentucky,1,0
1502475,2019,Missouri,1,0
1512772,2019,Texas,1,0
1518529,2019,Georgia,1,0
1519354,2019,Indiana,1,0
1515030,2019,Georgia,1,0
1516320,2019,Pennsylvania,1,0
1514898,2019,Texas,1,0
1515518,2019,Illinois,1,0
1515403,2019,New Mexico,1,0
1515339,2019,Rhode Island,1,1
1515980,2019,North Carolina,1,0
1517049,2019,New York,1,0
1517546,2019,Florida,1,0
1517767,2019,Georgia,1,0
1521125,2019,South Carolina,1,0
1514363,2019,North Carolina,1,0
1520107,2019,Alabama,1,0
1520520,2019,California,1,0
1521090,2019,New Jersey,1,0
1527348,2019,Wisconsin,1,0
1522472,2019,Texas,1,0
1523339,2019,Montana,1,0
1523848,2019,Tennessee,1,0
1526320,2019,Oregon,1,0
1494737,2019,California,1,0
1514922,2019,Ohio,1,0
1526761,2019,Louisiana,1,0
1541309,2019,New York,1,0
1522917,2019,Maine,1,0
1565292,2019,Illinois,1,0
1533610,2019,Indiana,1,0
1542057,2019,Ohio,1,0
1531063,2019,Missouri,1,0
1531121,2019,Illinois,1,0
1530965,2019,Texas,1,3
1531661,2019,Michigan,1,0
1531010,2019,Texas,1,0
1531412,2019,Wisconsin,1,0
1531137,2019,Virginia,1,0
1531818,2019,Michigan,1,0
1540873,2019,Texas,1,0
1532400,2019,Texas,1,0
1539793,2019,Kentucky,1,0
1533271,2019,Arkansas,1,0
1535085,2019,Arkansas,1,0
1535028,2019,Michigan,1,0
1535185,2019,New York,1,0
1536955,2019,Colorado,1,0
1535859,2019,Alabama,1,1
1539159,2019,Texas,1,0
1539595,2019,Mississippi,1,0
1538996,2019,Georgia,1,0
1535476,2019,Utah,1,0
1460198,2019,Texas,1,0
1541266,2019,Florida,1,0
1554251,2019,California,1,0
1527391,2019,Mississippi,1,0
1528713,2019,Indiana,1,0
1542476,2019,Missouri,1,0
1543427,2019,Alaska,1,0
1543478,2019,Illinois,1,0
1543714,2019,Massachusetts,1,0
1543208,2019,Minnesota,1,0
1544990,2019,Florida,1,0
1545423,2019,Tennessee,1,0
