State,Year,Gini-Indx,PopDens,Pov.%,GnLwRnk (Low is strict),Pop.,StateSqMi,AllVlntCrm,AllMrdr,GunHom.Rate100k,RapeRvsd,RapeLgcy,Robbery,AggvtdAsslt,MassShoot,MassShoot100k,MasShootY,FirearmSuic,AllSuic,House%OwnGuns,PolicKilledGun,PoliceKilledGun100k,NumOfPoliceOfficers,PoliceOfficers100k,GunRnkCATO,GunRnkEvryTwn,GunRnkAVG,PrcntBlck,PrcntHispORLat,PrtyRepub.,PrtyDemoc.,AlchlPerCap,MntlHlthRnk,PrcntHSchl,PrcntBchlr,RdntHntLic,RdntHntLic100k,GunShow100k,PrcntPopVet,PrcntPopUrbn,PrcntEvang.,CntryV.Rck,B5E,B5A,B5C,B5N,B5O,IATScore,UnHyphAm.,PrcntUnHyphAm.,PrcntConsrv,FxNwsCnsmp.,HnrCultr,CensS,CensNE,CensMW,CensW,MnMrdrWmn
Iowa,2014,0.443,55.61449104,10.3,15,3107126,55869,273.5,1.9,1.16,36.3,26.6,33.6,201.6,0,0,0,6.24,13.09,47.67,0,0,5003,161.0169655,40,20,30,3.1,5.3,41,40,2.34,7,91.3,26.4,786409,25309.85226,2.34,8,64.02,28,7,62.8,56.6,52.2,49.1,33.7,0.392,185253,5.962197864,40.1,5,0,0,0,1,0,0.83
Kansas,2014,0.46,35.49497036,12.1,41,2904021,81815,348.6,3.1,2.52,48.6,37,46.9,250,0,0,0,8.2,15.68,52.30,1,0.03443501269,6804,234.2958264,15,12,13.5,5.8,11,46,31,1.92,21,90,30.7,336451,11585.69446,1.4,8,74.2,31,7,45.5,48.9,50.8,49,40.1,0.397,217907,7.503630311,41.7,6,0,0,0,1,0,1.17
Kentucky,2014,0.47,111.0918496,20,47,4413457,39728,211.6,3.6,3.13,32.6,20,75.6,99.8,4,0.09063190148,1,10.65,16.5,64.55,0,0,7101,160.8942831,8,15,11.5,7.9,3.2,44,43,1.88,19,83.5,21.8,494854,11212.38974,0.92,8,58.38,49,7,53.4,48.1,51.3,62.5,43,0.408,890180,20.16967651,40.9,7,1,1,0,0,0,1.29
Louisiana,2014,0.49,106.7369726,23.1,50,4649676,43562,514.7,10.3,9.06,29.6,21.3,122.5,352.4,11,0.2365756238,1,9.55,14.61,65.37,1,0.02150687489,10037,215.8645032,37,22,29.5,32.1,4.6,41,43,2.58,42,82.8,22.1,600709,12919.37331,1.03,7,73.19,27,4,52.2,49.7,45,60.4,53.7,0.449,437042,9.399407615,44.1,6,1,1,0,0,0,2.15
Maine,2014,0.459,43.09795217,14.6,24,1330089,30862,127.8,1.6,0.75,36.5,27.1,22.9,66.9,1,0.07518293889,1,8.72,16.54,52.72,0,0,2285,171.7930154,16,18,17,1.1,1.4,36,47,2.71,10,91.3,28.4,213336,16039.22745,0.8,10,38.66,14,3,44.2,32.8,24,71,50.8,0.374,102182,7.682343061,32.6,1,0,0,1,0,0,0.74
Maryland,2014,0.449,611.459689,9.8,4,5976407,9774,446.1,6.1,4.17,27.1,19.1,159.7,253.2,1,0.01673246149,1,4.64,10.14,45.76,0,0,15893,265.9290105,44,41,42.5,29.5,8.8,31,55,2.15,14,89,37.3,291913,4884.423032,0.7,7,87.2,18,2,35.2,37.3,37.5,49.4,56.6,0.413,259963,4.349820887,31.8,5,1,1,0,0,0,1.14
Massachusetts,2014,0.486,860.3836735,13.6,6,6745408,7840,391.4,2,1.33,32.3,24.1,89.5,267.6,4,0.05929960056,1,1.92,8.82,21.77,0,0,16644,246.7456379,47,48,47.5,7,10.2,27,56,2.55,2,89.5,40,237861,3526.265572,0.28,6,91.97,9,1,44.4,40.7,32.2,63.8,59.6,0.396,236898,3.511989193,27.4,4,0,0,1,0,0,0.37
Michigan,2014,0.46,174.4573798,14.8,14,9909877,56804,427.3,5.4,4.14,63.3,40.9,80.9,277.7,13,0.1311822538,1,6.77,13.65,49.60,0,0,17028,171.8285706,36,29,32.5,14,4.6,34,47,2.32,17,89.3,26.4,1870244,18872.52486,0.98,7,74.57,25,4,55.2,54.7,53,48.6,43.4,0.402,518052,5.227632997,34.6,5,0,0,0,1,0,1.33
Minnesota,2014,0.454,68.54883809,8.3,12,5457173,79610,229.1,1.6,1.08,36.7,26.6,67.6,123.3,1,0.01832450611,1,5.64,12.57,44.87,1,0.01832450611,8879,162.7032898,39,44,41.5,5.4,4.9,39,46,2.8,5,92.3,33.2,1487063,27249.69503,1.5,7,73.27,19,6,52.9,61.6,52.5,43.4,38.5,0.392,171010,3.13367379,36.2,5,0,0,0,1,0,0.91
Mississippi,2014,0.476,63.83011064,22.1,48,2994079,46907,278.5,8.6,8.65,35.3,25.5,81.2,153.4,4,0.1335970093,1,8.38,12.69,66.04,0,0,2524,84.29971287,24,1,12.5,37.3,2.8,44,42,2.23,44,81.9,20.4,251062,8385.283087,1.27,7,49.35,41,7,56.8,63.3,59.7,52,46.2,0.456,327110,10.92522943,47.9,9,1,1,0,0,0,1.23
